DATE,RKNANPUSA666NRUG
1950-01-01,7368828.5
1951-01-01,7653916
1952-01-01,7973592
1953-01-01,8318338
1954-01-01,8650076
1955-01-01,9021823
1956-01-01,9390762
1957-01-01,9743166
1958-01-01,10053275
1959-01-01,10434712
1960-01-01,10803927
1961-01-01,11151112
1962-01-01,11569603
1963-01-01,12025759
1964-01-01,12536381
1965-01-01,13106077
1966-01-01,13722319
1967-01-01,14296025
1968-01-01,14888505
1969-01-01,15472192
1970-01-01,15973746
1971-01-01,16485769
1972-01-01,17084226
1973-01-01,17751130
1974-01-01,18319176
1975-01-01,18749454
1976-01-01,19258244
1977-01-01,19880750
1978-01-01,20621346
1979-01-01,21398030
1980-01-01,22033662
1981-01-01,22647426
1982-01-01,23128432
1983-01-01,23675250
1984-01-01,24426864
1985-01-01,25249576
1986-01-01,26067404
1987-01-01,26866096
1988-01-01,27655802
1989-01-01,28460166
1990-01-01,29208678
1991-01-01,29807548
1992-01-01,30447546
1993-01-01,31142584
1994-01-01,31914476
1995-01-01,32739804
1996-01-01,33669848
1997-01-01,34694968
1998-01-01,35854404
1999-01-01,37122332
2000-01-01,38439588
2001-01-01,39627500
2002-01-01,40679832
2003-01-01,41793132
2004-01-01,43024076
2005-01-01,44360180
2006-01-01,45671956
2007-01-01,46844304
2008-01-01,47779436
2009-01-01,48245684
2010-01-01,48728140
2011-01-01,49279028
2012-01-01,49960600
2013-01-01,50633784
2014-01-01,51190644
