DATE,A955RC1Q027SBEA
1947-01-01,35.326
1947-04-01,35.02
1947-07-01,33.269
1947-10-01,32.949
1948-01-01,33.338
1948-04-01,34.638
1948-07-01,35.881
1948-10-01,37.237
1949-01-01,38.333
1949-04-01,39.086
1949-07-01,38.432
1949-10-01,38.121
1950-01-01,38.276
1950-04-01,38.553
1950-07-01,38.013
1950-10-01,41.394
1951-01-01,47.138
1951-04-01,51.618
1951-07-01,56.906
1951-10-01,59.225
1952-01-01,60.921
1952-04-01,64.723
1952-07-01,66.087
1952-10-01,68.119
1953-01-01,69.217
1953-04-01,70.767
1953-07-01,69.592
1953-10-01,70.818
1954-01-01,68.418
1954-04-01,66.591
1954-07-01,66.415
1954-10-01,66.859
1955-01-01,67.728
1955-04-01,67.777
1955-07-01,69.834
1955-10-01,69.063
1956-01-01,69.274
1956-04-01,71.663
1956-07-01,70.518
1956-10-01,72.68
1957-01-01,75.585
1957-04-01,76.106
1957-07-01,76.806
1957-10-01,79.236
1958-01-01,78.576
1958-04-01,81.642
1958-07-01,82.168
1958-10-01,83.676
1959-01-01,80.978
1959-04-01,82.377
1959-07-01,83.354
1959-10-01,83.669
1960-01-01,81.85
1960-04-01,83.186
1960-07-01,85.579
1960-10-01,87.451
1961-01-01,86.591
1961-04-01,88.743
1961-07-01,90.111
1961-10-01,91.914
1962-01-01,95.155
1962-04-01,96.572
1962-07-01,98.939
1962-10-01,100.093
1963-01-01,100.47
1963-04-01,100.58
1963-07-01,104.11
1963-10-01,105.858
1964-01-01,106.778
1964-04-01,107.813
1964-07-01,109.465
1964-10-01,109.43
1965-01-01,110.829
1965-04-01,112.899
1965-07-01,117.893
1965-10-01,123.14
1966-01-01,125.112
1966-04-01,129.716
1966-07-01,135.288
1966-10-01,137.392
1967-01-01,144.699
1967-04-01,147.248
1967-07-01,150.458
1967-10-01,154.992
1968-01-01,161.395
1968-04-01,164.107
1968-07-01,167.823
1968-10-01,171.796
1969-01-01,172.18
1969-04-01,177.15
1969-07-01,182.606
1969-10-01,185.815
1970-01-01,188.878
1970-04-01,190.308
1970-07-01,194.343
1970-10-01,197.612
1971-01-01,203.856
1971-04-01,207.792
1971-07-01,210.611
1971-10-01,213.579
1972-01-01,222.233
1972-04-01,225.543
1972-07-01,225.102
1972-10-01,229.115
1973-01-01,233.395
1973-04-01,237.173
1973-07-01,239.548
1973-10-01,246.385
1974-01-01,253.627
1974-04-01,258.921
1974-07-01,268.513
1974-10-01,279.758
1975-01-01,287.098
1975-04-01,294.242
1975-07-01,299.868
1975-10-01,305.691
1976-01-01,308.389
1976-04-01,312.013
1976-07-01,314.804
1976-10-01,322.825
1977-01-01,329.794
1977-04-01,337.145
1977-07-01,344.386
1977-10-01,353.352
1978-01-01,359.085
1978-04-01,367.337
1978-07-01,374.547
1978-10-01,382.109
1979-01-01,392.092
1979-04-01,399.582
1979-07-01,407.726
1979-10-01,419.421
1980-01-01,433.07
1980-04-01,453.855
1980-07-01,457.798
1980-10-01,469.876
1981-01-01,486.948
1981-04-01,503.408
1981-07-01,512.068
1981-10-01,525.741
1982-01-01,537.87
1982-04-01,546.706
1982-07-01,559.943
1982-10-01,573.599
1983-01-01,583.138
1983-04-01,594.009
1983-07-01,607.725
1983-10-01,596.7
1984-01-01,609.911
1984-04-01,629.661
1984-07-01,641.966
1984-10-01,657.373
1985-01-01,667.317
1985-04-01,682.132
1985-07-01,701.107
1985-10-01,712.004
1986-01-01,717.806
1986-04-01,733.076
1986-07-01,747.923
1986-10-01,753.151
1987-01-01,761.027
1987-04-01,771.763
1987-07-01,777.85
1987-10-01,796.931
1988-01-01,803.368
1988-04-01,812.228
1988-07-01,820.091
1988-10-01,846.13
1989-01-01,852.752
1989-04-01,878.573
1989-07-01,889.537
1989-10-01,904.853
1990-01-01,925.608
1990-04-01,942.405
1990-07-01,951.01
1990-10-01,973.721
1991-01-01,993.07
1991-04-01,1000.567
1991-07-01,1010.226
1991-10-01,1015.565
1992-01-01,1026.911
1992-04-01,1037.683
1992-07-01,1059.862
1992-10-01,1069.076
1993-01-01,1063.331
1993-04-01,1065.873
1993-07-01,1076.738
1993-10-01,1086.217
1994-01-01,1089.658
1994-04-01,1099.099
1994-07-01,1121.368
1994-10-01,1122.279
1995-01-01,1130.628
1995-04-01,1142.497
1995-07-01,1148.542
1995-10-01,1145.305
1996-01-01,1154.479
1996-04-01,1169.909
1996-07-01,1175.713
1996-10-01,1191.454
1997-01-01,1196.67
1997-04-01,1218.569
1997-07-01,1223.761
1997-10-01,1243.113
1998-01-01,1236.791
1998-04-01,1262.624
1998-07-01,1273.083
1998-10-01,1297.932
1999-01-01,1312.331
1999-04-01,1332.667
1999-07-01,1364.471
1999-10-01,1398.057
2000-01-01,1401.561
2000-04-01,1437.298
2000-07-01,1446.128
2000-10-01,1466.992
2001-01-01,1504.536
2001-04-01,1528.077
2001-07-01,1549.224
2001-10-01,1567.733
2002-01-01,1604.227
2002-04-01,1635.045
2002-07-01,1653.366
2002-10-01,1687.526
2003-01-01,1715.249
2003-04-01,1741.135
2003-07-01,1752.142
2003-10-01,1779.42
2004-01-01,1813.017
2004-04-01,1838.127
2004-07-01,1867.06
2004-10-01,1892.54
2005-01-01,1925.344
2005-04-01,1942.678
2005-07-01,1977.768
2005-10-01,2005.032
2006-01-01,2041.015
2006-04-01,2059.081
2006-07-01,2080.573
2006-10-01,2112.697
2007-01-01,2144.873
2007-04-01,2180.67
2007-07-01,2213.057
2007-10-01,2256.682
2008-01-01,2297.618
2008-04-01,2343.533
2008-07-01,2389.804
2008-10-01,2378.622
2009-01-01,2379.608
2009-04-01,2421.066
2009-07-01,2444.048
2009-10-01,2477.689
2010-01-01,2498.705
2010-04-01,2516.637
2010-07-01,2508.496
2010-10-01,2516.734
2011-01-01,2516.632
2011-04-01,2532.298
2011-07-01,2502.381
2011-10-01,2495.704
2012-01-01,2517.825
2012-04-01,2503.94
2012-07-01,2520.198
2012-10-01,2521.954
2013-01-01,2526.358
2013-04-01,2533.539
2013-07-01,2530.878
2013-10-01,2537.248
2014-01-01,2551.296
2014-04-01,2549.423
2014-07-01,2583.938
2014-10-01,2576.14
2015-01-01,2582.321
2015-04-01,2610.689
2015-07-01,2625.954
2015-10-01,2631.86
2016-01-01,2626.298
2016-04-01,2648.007
2016-07-01,2673.456
2016-10-01,2690.193
2017-01-01,2709.3
2017-04-01,2717.688
2017-07-01,2732.115
2017-10-01,2765.914
2018-01-01,2797.016
2018-04-01,2830.976
2018-07-01,2858.863
