DATE,Deflator Investment,Gross investment,Real_Investment,Consumption,Real_Consumption
1947-01-01,7.684,4.9,63.76887038,35.3,459.3961478
1947-04-01,7.665,5.1,66.53620352,35,456.6210046
1947-07-01,7.519,6.1,81.12780955,33.3,442.8780423
1947-10-01,7.615,6.6,86.67104399,32.9,432.0420223
1948-01-01,7.76,7.5,96.64948454,33.3,429.1237113
1948-04-01,7.865,8.2,104.259377,34.6,439.9237127
1948-07-01,8.023,8.8,109.6846566,35.9,447.4635423
1948-10-01,8.073,9.4,116.4375077,37.2,460.7952434
1949-01-01,8.197,10.3,125.6557277,38.3,467.2441137
1949-04-01,8.144,11.3,138.7524558,39.1,480.108055
1949-07-01,8.097,11.9,146.9680128,38.4,474.2497221
1949-10-01,8.168,11.8,144.4662096,38.1,466.4544564
1950-01-01,8.164,10.7,131.0632043,38.3,469.132778
1950-04-01,8.132,11.1,136.4977865,38.6,474.6679784
1950-07-01,8.284,11.7,141.2361178,38,458.7155963
1950-10-01,8.356,12.3,147.199617,41.4,495.4523696
1951-01-01,8.723,14.9,170.8127938,47.1,539.9518514
1951-04-01,8.663,18.2,210.0888838,51.6,595.6366155
1951-07-01,8.724,21.1,241.8615314,56.9,652.2237506
1951-10-01,8.844,24.1,272.5011307,59.2,669.3803709
1952-01-01,8.762,24.1,275.0513581,60.9,695.046793
1952-04-01,8.87,24.3,273.957159,64.7,729.4250282
1952-07-01,8.973,24.8,276.3847097,66.1,736.6544077
1952-10-01,9.066,25.3,279.0646371,68.1,751.1581734
1953-01-01,9.008,26.5,294.1829485,69.2,768.2060391
1953-04-01,9.026,27.2,301.3516508,70.8,784.4006204
1953-07-01,9,27,300,69.6,773.3333333
1953-10-01,9.034,25.9,286.6947089,70.8,783.7059996
1954-01-01,9.09,26.4,290.4290429,68.4,752.4752475
1954-04-01,9.181,25.9,282.1043459,66.6,725.4111753
1954-07-01,9.243,24.7,267.2292546,66.4,718.3814779
1954-10-01,9.32,24.5,262.8755365,66.9,717.8111588
1955-01-01,9.368,24.1,257.2587532,67.7,722.6729291
1955-04-01,9.529,24.8,260.2581593,67.8,711.5122258
1955-07-01,9.629,24.3,252.3626545,69.8,724.8935507
