DATE,hours/population,Population
1947-07-01,1405.571846,92958666.67
1947-10-01,1383.390848,93143333.33
1948-01-01,1375.867922,93317666.67
1948-04-01,1387.491883,93493000
1948-07-01,1373.06183,93818000
1948-10-01,1385.495214,93984000
1949-01-01,1366.560171,94145666.67
1949-04-01,1360.366253,94311333.33
1949-07-01,1312.377693,94536333.33
1949-10-01,1329.446167,94707000
1950-01-01,1332.676927,94866666.67
1950-04-01,1352.56975,95022333.33
1950-07-01,1315.602837,95219333.33
1950-10-01,1387.652513,95418000
1951-01-01,1396.603109,95449000
1951-04-01,1410.639215,95592000
1951-07-01,1423.813385,95932000
1951-10-01,1412.029049,96117000
1952-01-01,1415.467545,96285666.67
1952-04-01,1402.431814,96454666.67
1952-07-01,1392.671778,96633666.67
1952-10-01,1427.05195,96808666.67
1953-01-01,1420.850152,97270333.33
1953-04-01,1412.345879,97427000
1953-07-01,1407.589065,97609333.33
1953-10-01,1392.39434,97799666.67
1954-01-01,1376.775391,97983000
1954-04-01,1356.196389,98198333.33
1954-07-01,1265.24284,98405000
1954-10-01,1349.869981,98594666.67
1955-01-01,1366.154464,98758333.33
1955-04-01,1368.617396,98928666.67
1955-07-01,1389.23441,99073000
1955-10-01,1399.711374,99251000
1956-01-01,1395.02317,99409666.67
1956-04-01,1400.50806,99582000
1956-07-01,1397.502452,99873000
1956-10-01,1393.441536,100073000
1957-01-01,1394.441067,100272000
1957-04-01,1377.857746,100516666.7
1957-07-01,1370.276016,100860333.3
1957-10-01,1343.941456,101107333.3
1958-01-01,1317.849794,101334333.3
1958-04-01,1310.344823,101567000
1958-07-01,1308.182962,101794000
1958-10-01,1333.115792,102090348.3
1959-01-01,1335.969297,102419956.8
1959-04-01,1346.48411,102747565.3
1959-07-01,1336.369769,103046173.8
1959-10-01,1330.159003,103293115.7
1960-01-01,1320.679615,103973012.7
1960-04-01,1334.196172,104250576.3
1960-07-01,1341.779012,104535806.7
1960-10-01,1324.668873,104842370.3
1961-01-01,1328.370215,105213255.8
1961-04-01,1308.272911,105524807.8
1961-07-01,1306.512014,105808359.9
1961-10-01,1330.544463,105910912
1962-01-01,1326.533754,106059606.5
1962-04-01,1342.291552,105744967.7
1962-07-01,1334.330609,106257328.8
1962-10-01,1325.07579,106881690
1963-01-01,1323.16217,107421910.8
1963-04-01,1320.539485,107915131.7
1963-07-01,1318.89956,108421019.2
1963-10-01,1326.31049,108893240
1964-01-01,1320.228522,109355631.9
1964-04-01,1335.542956,109791357.2
1964-07-01,1328.215563,110247082.4
1964-10-01,1321.274636,110709141
1965-01-01,1340.585857,111180889.1
1965-04-01,1336.690551,111646637.2
1965-07-01,1346.667573,111997385.3
1965-10-01,1353.179029,112339466.7
1966-01-01,1360.3943,112745485.6
1966-04-01,1360.952831,113169504.5
1966-07-01,1368.877717,113595190.1
1966-10-01,1356.599496,114013875.7
1967-01-01,1354.514038,114410889.5
1967-04-01,1336.259748,114868903.3
1967-07-01,1342.529495,115465583.8
1967-10-01,1351.046185,116002597.7
1968-01-01,1339.748528,116469678.6
1968-04-01,1346.349356,116882759.5
1968-07-01,1343.223492,117339840.4
1968-10-01,1340.720249,117902254.7
1969-01-01,1344.383688,118429175.4
1969-04-01,1341.217054,118879762.8
1969-07-01,1340.254332,119355683.6
1969-10-01,1337.547978,119897937.7
1970-01-01,1329.376616,120415253.6
1970-04-01,1315.758654,120946569.5
1970-07-01,1302.459421,121502885.4
1970-10-01,1285.331895,122078868
1971-01-01,1285.559714,122672597.3
1971-04-01,1274.558242,123280326.5
1971-07-01,1269.253804,123869055.8
1971-10-01,1280.494564,124459785
1972-01-01,1286.642853,125679497.3
1972-04-01,1284.817257,126302876.3
1972-07-01,1286.889774,126877588.7
1972-10-01,1285.380616,127379634.3
1973-01-01,1286.232615,128022202.8
1973-04-01,1299.263616,128698771.2
1973-07-01,1303.05012,129308339.6
1973-10-01,1302.246728,129917241.3
1974-01-01,1298.600688,130460186.8
