 12.812274 seconds (26.74 M allocations: 1.408 GiB, 4.85% gc time)
######## fminbox ########
Initial mu = 62.66820718553827
#### Fminbox #1: Calling optimizer with mu = 62.66820718553827 ####
Iter     Function value   Gradient norm 
     0     4.609896e+05     2.687604e+07
     5     3.298493e+05     2.142245e+04
    10     3.293058e+05     1.095807e+04
    15     3.286796e+05     1.064874e+04
    20     3.285409e+05     1.883384e+04
    25     3.283343e+05     6.575629e+04
    30     3.280961e+05     6.230215e+04
    35     3.279479e+05     5.597912e+04
    40     3.279086e+05     3.277258e+04
    45     3.278590e+05     4.154029e+04
    50     3.278427e+05     2.450577e+04
    55     3.278247e+05     1.480867e+04
    60     3.278159e+05     1.938960e+04
    65     3.278044e+05     3.223359e+04
    70     3.277714e+05     2.102681e+04
    75     3.277621e+05     3.492811e+04
    80     3.277470e+05     2.479610e+04
    85     3.277331e+05     1.600115e+04
    90     3.277127e+05     3.137706e+04
    95     3.276960e+05     2.965068e+04
   100     3.276771e+05     3.740883e+04
   105     3.276638e+05     3.862069e+04
   110     3.276191e+05     1.660896e+04
   115     3.275728e+05     2.409561e+04
